customer_id,lifetime_value,loss_ratio,segment
1,-24831.65,6.399640337830197,Watch List
2,0.0,0.0,Watch List
3,-17852.83,4.220677985059145,Watch List
4,0.0,0.0,Watch List
5,-43622.79,0.0,Watch List
6,-36918.509999999995,5.778136425700992,Watch List
7,1008.73,0.0,Premium Partner
8,-33746.56999999999,5.7158294694536895,Watch List
9,-20379.399999999998,18.13836398651092,Watch List
10,0.0,0.0,Watch List
11,-8698.07,2.493692471493337,Watch List
12,-2347.62,3.4345328217359747,Watch List
13,-19311.81,11.642519797860675,Watch List
14,-32666.440000000002,48.12819920939493,Watch List
15,-96378.84,38.55497712695901,Risk Management
16,-2894.04,3.6887286781374264,Watch List
17,0.0,0.0,Watch List
18,0.0,0.0,Watch List
19,-26006.65,11.82951621097166,Risk Management
20,6526.42,0.0,Premium Partner
21,0.0,0.0,Watch List
22,-4457.333333333334,2.5715993244426474,Watch List
23,-13184.02,2.2609891633908163,Watch List
24,-59625.97,30.745907977510715,Watch List
25,-4378.52,1.6447998751198365,Watch List
26,-238864.18,25.14061871506968,Risk Management
27,-22857.465,11.25428374677275,Watch List
28,1330.08,0.0,Premium Partner
29,-17515.683333333334,7.178269846234159,Watch List
30,-1308.8450000000003,1.2966654615802198,Watch List
31,-35038.36,20.91008222385117,Watch List
32,-174919.67571428572,17.53418476449641,Risk Management
33,-22241.86,19.434262981227466,Risk Management
34,-5423.85,3.136820996895535,Watch List
35,-32899.34,3.205957411428027,Watch List
36,-94426.31,12.819629387628398,Risk Management
37,0.0,0.0,Watch List
38,-15471.06,0.0,Watch List
39,2097.25,0.0,Premium Partner
40,0.0,0.0,Watch List
41,-10995.78,0.0,Watch List
42,-35164.485,38.07476211813701,Watch List
43,-75676.77,20.626278239265126,Watch List
44,-14202.253333333336,4.738589459201439,Watch List
45,-10109.32,0.0,Watch List
46,-9018.98,7.274160336143806,Watch List
47,0.0,0.0,Watch List
48,-12800.619999999999,2.6678918997801877,Watch List
49,-813.8199999999997,1.2266516646150247,Watch List
50,0.0,0.0,Watch List
